segment id,excitatory synapses,inhibitory synapses,cortical layer,cell type
49122817661,1,0,Layer 5,oligodendrocyte
28654757106,1823,552,Layer 3,pyramidal neuron
42740983635,2,2,White matter,astrocyte
16787238876,1,0,White matter,oligodendrocyte
63248131668,2,3,Layer 1,astrocyte
39095581060,154,143,Layer 3,interneuron
4684176304,730,311,Layer 2,pyramidal neuron
31860288747,2209,1436,Layer 4,interneuron
54689156934,50,50,Layer 1,interneuron
40374775430,320,244,Layer 4,interneuron
24298503357,2,1,White matter,oligodendrocyte
60027165273,0,0,Layer 5,microglia/opc
28233458445,0,0,Layer 3,oligodendrocyte
43089744154,68,64,White matter,oligodendrocyte
71383355904,0,0,Layer 1,microglia/opc
49236617516,132,75,Layer 6,astrocyte
46587981702,4,4,Layer 4,microglia/opc
4534867592,1,2,Layer 4,oligodendrocyte
40056691349,1,3,Layer 3,oligodendrocyte
51771964662,0,0,Layer 6,microglia/opc
6221005769,0,0,Layer 6,oligodendrocyte
3733681336,676,354,Layer 4,pyramidal neuron
39720109532,2,1,Layer 4,oligodendrocyte
50981612150,36,15,White matter,astrocyte
17353072260,0,0,White matter,oligodendrocyte
41266806475,636,230,Layer 2,excitatory/spiny neuron with atypical tree
42407423124,1,1,White matter,oligodendrocyte
10168166912,5,4,Layer 3,pyramidal neuron
5613296228,1268,440,Layer 4,pyramidal neuron
30589155650,221,187,Layer 5,interneuron
3314748736,134,41,Layer 2,interneuron
23541441564,0,0,White matter,oligodendrocyte
32388538796,2,2,Layer 1,astrocyte
